code,indicateurId,chart,Indicateur disponible,ODD,Cible
3,3.2.1,lineGroup,Oui,ODD 3 : Permettre à tous de vivre en bonne santé et promouvoir le bien-être de tous à tout âge ,"3.2 D’ici à 2030, éliminer les décès évitables de nouveau-nés et d’enfants de moins de 5 ans, tous les pays devant chercher à ramener la mortalité néonatale à 12 pour 1 000 naissances vivantes au plus et la mortalité des enfants de moins de 5 ans à 25 pour 1 000 naissances vivantes au plus"
3,3.2.2,bar,Oui,ODD 3 : Permettre à tous de vivre en bonne santé et promouvoir le bien-être de tous à tout âge ,"3.2 D’ici à 2030, éliminer les décès évitables de nouveau-nés et d’enfants de moins de 5 ans, tous les pays devant chercher à ramener la mortalité néonatale à 12 pour 1 000 naissances vivantes au plus et la mortalité des enfants de moins de 5 ans à 25 pour 1 000 naissances vivantes au plus"
3,3.3.1,lineGroup,Oui,ODD 3 : Permettre à tous de vivre en bonne santé et promouvoir le bien-être de tous à tout âge ,"3.3 D’ici à 2030, mettre fin à l’épidémie de sida, à la tuberculose, au paludisme et aux maladies tropicales négligées et combattre l’hépatite, les maladies transmises par l’eau et autres maladies transmissibles"
3,3.3.2,line,Oui,ODD 3 : Permettre à tous de vivre en bonne santé et promouvoir le bien-être de tous à tout âge ,"3.3 D’ici à 2030, mettre fin à l’épidémie de sida, à la tuberculose, au paludisme et aux maladies tropicales négligées et combattre l’hépatite, les maladies transmises par l’eau et autres maladies transmissibles"
3,3.3.3,line,Oui,ODD 3 : Permettre à tous de vivre en bonne santé et promouvoir le bien-être de tous à tout âge ,"3.3 D’ici à 2030, mettre fin à l’épidémie de sida, à la tuberculose, au paludisme et aux maladies tropicales négligées et combattre l’hépatite, les maladies transmises par l’eau et autres maladies transmissibles"
3,3.3.4,,Oui,ODD 3 : Permettre à tous de vivre en bonne santé et promouvoir le bien-être de tous à tout âge ,"3.3 D’ici à 2030, mettre fin à l’épidémie de sida, à la tuberculose, au paludisme et aux maladies tropicales négligées et combattre l’hépatite, les maladies transmises par l’eau et autres maladies transmissibles"
3,3.3.5,,Non,ODD 3 : Permettre à tous de vivre en bonne santé et promouvoir le bien-être de tous à tout âge ,"3.3 D’ici à 2030, mettre fin à l’épidémie de sida, à la tuberculose, au paludisme et aux maladies tropicales négligées et combattre l’hépatite, les maladies transmises par l’eau et autres maladies transmissibles"
3,3.4.1,,Non,ODD 3 : Permettre à tous de vivre en bonne santé et promouvoir le bien-être de tous à tout âge ,"3.4 réduire d’un tiers, par la prévention et le traitement, le taux de mortalité prématurée due à des maladies non transmissibles et promouvoir la santé mentale et le bien-être."
3,3.4.2,,Non,ODD 3 : Permettre à tous de vivre en bonne santé et promouvoir le bien-être de tous à tout âge ,"3.4 réduire d’un tiers, par la prévention et le traitement, le taux de mortalité prématurée due à des maladies non transmissibles et promouvoir la santé mentale et le bien-être."
3,3.6.1,,Non,ODD 3 : Permettre à tous de vivre en bonne santé et promouvoir le bien-être de tous à tout âge ,3.6 diminuer de moitié à l’échelle mondiale le nombre de décès et de blessures dus à des accidents de la route.
3,3.7.1,line,Oui,ODD 3 : Permettre à tous de vivre en bonne santé et promouvoir le bien-être de tous à tout âge ,3.7 assurer l’accès de tous à des services de soins de santé sexuelle et procréative.
3,3.7.2,barGroup,Oui,ODD 3 : Permettre à tous de vivre en bonne santé et promouvoir le bien-être de tous à tout âge ,3.7 assurer l’accès de tous à des services de soins de santé sexuelle et procréative.
3,3.8.1,line,Oui,ODD 3 : Permettre à tous de vivre en bonne santé et promouvoir le bien-être de tous à tout âge ,3.8 Faire en sorte que chacun bénéficie d’une couverture sanitaire universelle.
3,3.8.2,,Oui,ODD 3 : Permettre à tous de vivre en bonne santé et promouvoir le bien-être de tous à tout âge ,3.8 Faire en sorte que chacun bénéficie d’une couverture sanitaire universelle.
3,3.c.1,lineGroup,Oui,ODD 3 : Permettre à tous de vivre en bonne santé et promouvoir le bien-être de tous à tout âge ,"3.c Accroître considérablement le budget de la santé et le recrutement, le perfectionnement, la formation et le maintien en poste du personnel de santé."
3,3.d.1,,Non,ODD 3 : Permettre à tous de vivre en bonne santé et promouvoir le bien-être de tous à tout âge ,"3.d Renforcer les moyens en matière d’alerte rapide, de réduction des risques et de gestion des risques sanitaires nationaux et mondiaux."
4,4.1.1,bar,Oui,"ODD 4 : Assurer à tous une éducation équitable, inclusive et de qualité et des possibilités d’apprentissage tout au long de la vie","4.1 D’ici à 2030, faire en sorte que toutes les filles et tous les garçons suivent, sur un pied d’égalité, un cycle complet d’enseignement primaire et secondaire gratuit et de qualité, les dotant d’acquis véritablement utiles"
4,4.1.2,barGroup,Oui,"ODD 4 : Assurer à tous une éducation équitable, inclusive et de qualité et des possibilités d’apprentissage tout au long de la vie","4.1 D’ici à 2030, faire en sorte que toutes les filles et tous les garçons suivent, sur un pied d’égalité, un cycle complet d’enseignement primaire et secondaire gratuit et de qualité, les dotant d’acquis véritablement utiles"
4,4.2.1,,Non,"ODD 4 : Assurer à tous une éducation équitable, inclusive et de qualité et des possibilités d’apprentissage tout au long de la vie","4.2 D’ici à 2030, faire en sorte que toutes les filles et tous les garçons aient accès à des services de développement et de prise en charge de la petite enfance et à une éducation préscolaire de qualité qui les préparent à suivre un enseignement primaire plus"
4,4.2.2,,Non,"ODD 4 :Assurer à tous une éducation équitable, inclusive et de qualité et des possibilités d’apprentissage tout au long de la vie","4.2 D’ici à 2030, faire en sorte que toutes les filles et tous les garçons aient accès à des services de développement et de prise en charge de la petite enfance et à une éducation préscolaire de qualité qui les préparent à suivre un enseignement primaire plus"
4,4.3.1,,Non,"ODD 4 : Assurer à tous une éducation équitable, inclusive et de qualité et des possibilités d’apprentissage tout au long de la vie","4.3 D’ici à 2030, faire en sorte que toutes les femmes et tous les hommes aient accès dans des conditions d’égalité à un enseignement technique, professionnel ou tertiaire, y compris universitaire, de qualité et d’un coût abordable"
4,4.5.1,bar,Oui,"ODD 4 : Assurer à tous une éducation équitable, inclusive et de qualité et des possibilités d’apprentissage tout au long de la vie","4.5 D’ici à 2030, éliminer les inégalités entre les sexes dans le domaine de l’éducation et assurer l’égalité d’accès des personnes vulnérables, y compris les personnes handicapées, les autochtones et les enfants en situation vulnérable, à tous les niveaux d’enseignement et de formation professionnelle"
4,4.6.1,,Non,"ODD 4 : Assurer à tous une éducation équitable, inclusive et de qualité et des possibilités d’apprentissage tout au long de la vie","4.6 D’ici à 2030, faire en sorte que tous les jeunes et une proportion considérable d’adultes, hommes et femmes, sachent lire, écrire et compter"
4,4.a.1,barGroup,Oui,"ODD 4 : Assurer à tous une éducation équitable, inclusive et de qualité et des possibilités d’apprentissage tout au long de la vie",4.a text missing!!
4,4.b.1,,Non,"ODD 4 : Assurer à tous une éducation équitable, inclusive et de qualité et des possibilités d’apprentissage tout au long de la vie","4.b D’ici à 2020, augmenter nettement à l’échelle mondiale le nombre de bourses d’études offertes à des étudiants des pays en développement, en particulier des pays les moins avancés, des petits États insulaires en développement et des pays d’Afrique, pour leur permettre de suivre des études supérieures, y compris une formation professionnelle, des cursus informatiques, techniques et scientifiques et des études d’ingénieur, dans des pays développés et d’autres pays en développement"
4,4.c.1,barGroup,Oui,"ODD 4 : Assurer à tous une éducation équitable, inclusive et de qualité et des possibilités d’apprentissage tout au long de la vie","4.c D’ici à 2030, accroître nettement le nombre d’enseignants qualifiés, notamment au moyen de la coopération internationale pour la formation d’enseignants dans les pays en développement, surtout dans les pays les moins avancés et les petits États insulaires en développement"
5,5.1.1,,Oui,ODD 5 : Assurer l’égalité des sexes et l’autonomisation des Femmes et Filles. ,"5.1 Mettre fin, partout dans le monde, à toutes les formes de discrimination à l’égard des femmes et des filles"
5,5.2.1,,Non,ODD 5 : Assurer l’égalité des sexes et l’autonomisation des Femmes et Filles. ,"5.2 Éliminer de la vie publique et de la vie privée toutes les formes de violence faite aux femmes et aux filles, y compris la traite et l’exploitation sexuelle et d’autres types d’exploitation"
5,5.3.1,,Non,ODD 5 : Assurer l’égalité des sexes et l’autonomisation des Femmes et Filles. ,"5.3 Éliminer toutes les pratiques préjudiciables, telles que le mariage des enfants, le mariage précoce ou forcé et la mutilation génitale féminine"
5,5.4.1,,Non,ODD 5 : Assurer l’égalité des sexes et l’autonomisation des Femmes et Filles. ,"5.4 Prendre en compte et valoriser les soins et travaux domestiques non rémunérés, par la mise en place de services publics, d’infrastructures et de politiques de protection sociale et par la promotion du partage des responsabilités dans le ménage et la famille, en fonction du contexte national"
5,5.5.1,lineGroup,Oui,ODD 5 : Assurer l’égalité des sexes et l’autonomisation des Femmes et Filles. ,"5.5 Veiller à ce que les femmes participent pleinement et effectivement aux fonctions de direction à tous les niveaux de décision, dans la vie politique, économique et publique, et y accèdent sur un pied d’égalité"
5,5.5.2,,Non,ODD 5 : Assurer l’égalité des sexes et l’autonomisation des Femmes et Filles. ,"5.5 Veiller à ce que les femmes participent pleinement et effectivement aux fonctions de direction à tous les niveaux de décision, dans la vie politique, économique et publique, et y accèdent sur un pied d’égalité"
5,5.6.1,,Oui,ODD 5 : Assurer l’égalité des sexes et l’autonomisation des Femmes et Filles. ,"5.6 Assurer l’accès de tous aux soins de santé sexuelle et procréative et faire en sorte que chacun puisse exercer ses droits en matière de procréation, ainsi qu’il a été décidé dans le Programme d’action de la Conférence internationale sur la population et le développement et le Programme d’action de Beijing et les documents finals des conférences d’examen qui ont suivi"
5,Proportion,,Non,ODD 5 : Assurer l’égalité des sexes et l’autonomisation des Femmes et Filles. ,"5.3 Éliminer toutes les pratiques préjudiciables, telles que le mariage des enfants, le mariage précoce ou forcé et la mutilation génitale féminine"
5,Proportion,,Non,ODD 5 : Assurer l’égalité des sexes et l’autonomisation des Femmes et Filles. ,"5.3 Éliminer toutes les pratiques préjudiciables, telles que le mariage des enfants, le mariage précoce ou forcé et la mutilation génitale féminine"
5,5.a.1,bar,Oui,ODD 5 : Assurer l’égalité des sexes et l’autonomisation des Femmes et Filles. ,"5.a Entreprendre des réformes visant à donner aux femmes les mêmes droits aux ressources économiques, ainsi que l’accès à la propriété et au contrôle des terres et d’autres formes de propriété, aux services financiers, à l’héritage et aux ressources naturelles, dans le respect de la législation interne"
5,5.b.1,bar,Oui,ODD 5 : Assurer l’égalité des sexes et l’autonomisation des Femmes et Filles. ,"5.b Renforcer l’utilisation des technologies clefs, en particulier de l’informatique et des communications, pour favoriser l’autonomisation des femmes"
6,6.1.1,barGroup,Oui,ODD 6 : Garantir l’accès de tous à des services d’alimentation en eau et d’assainissement gérés de façon durable.,"6.1 D’ici à 2030, assurer l’accès universel et équitable à l’eau potable, à un coût abordable"
6,6.2.1,bar,Oui,ODD 6 : Garantir l’accès de tous à des services d’alimentation en eau et d’assainissement gérés de façon durable.,"6.2 D’ici à 2030, assurer l’accès de tous, dans des conditions équitables, à des services d’assainissement et d’hygiène adéquats et mettre fin à la défécation en plein air, en accordant une attention particulière aux besoins des femmes et des filles et des personnes en situation vulnérable"
6,6.4.1,,Non,ODD 6 : Garantir l’accès de tous à des services d’alimentation en eau et d’assainissement gérés de façon durable.,"6.4 D’ici à 2030, faire en sorte que les ressources en eau soient utilisées beaucoup plus efficacement dans tous les secteurs et garantir la viabilité des prélèvements et de l’approvisionnement en eau douce afin de remédier à la pénurie d’eau et de réduire nettement le nombre de personnes qui manquent d’eau"
6,6.4.2,,Non,ODD 6 : Garantir l’accès de tous à des services d’alimentation en eau et d’assainissement gérés de façon durable.,"6.4 D’ici à 2030, faire en sorte que les ressources en eau soient utilisées beaucoup plus efficacement dans tous les secteurs et garantir la viabilité des prélèvements et de l’approvisionnement en eau douce afin de remédier à la pénurie d’eau et de réduire nettement le nombre de personnes qui manquent d’eau"
6,6.a.1,,Non,ODD 6 : Garantir l’accès de tous à des services d’alimentation en eau et d’assainissement gérés de façon durable.,"6.a D’ici à 2030, développer la coopération internationale et l’appui au renforcement des capacités des pays en développement en ce qui concerne les activités et programmes relatifs à l’eau et à l’assainissement, y compris la collecte, la désalinisation et l’utilisation rationnelle de l’eau, le traitement des eaux usées, le recyclage et les techniques de réutilisation."
7,7.1.1,lineGroupDouble,Oui,"ODD 7 : Garantir l’accès de tous à des services énergétiques fiables, durables et modernes, à un coût abordable","7.1 D’ici à 2030, garantir l’accès de tous à des services énergétiques fiables et modernes, à un coût abordable"
7,7.1.2,lineGroupDouble,Oui,"ODD 7 : Garantir l’accès de tous à des services énergétiques fiables, durables et modernes, à un coût abordable","7.1 D’ici à 2030, garantir l’accès de tous à des services énergétiques fiables et modernes, à un coût abordable"
7,7.2.1,line,Oui,"ODD 7 : Garantir l’accès de tous à des services énergétiques fiables, durables et modernes, à un coût abordable","7.2 D’ici à 2030, accroître nettement la part de l’énergie renouvelable dans le bouquet énergétique mondial"
7,7.3.1,line,Oui,"ODD 7 : Garantir l’accès de tous à des services énergétiques fiables, durables et modernes, à un coût abordable","7.3 D’ici à 2030, multiplier par deux le taux mondial d’amélioration de l’efficacité énergétique"
7,7.b.1,line,Oui,"ODD 7 : Garantir l’accès de tous à des services énergétiques fiables, durables et modernes, à un coût abordable","7.b D’ici à 2030, développer l’infrastructure et améliorer la technologie afin de fournir des services énergétiques modernes et durables à tous les habitants des pays en développement, en particulier des pays les moins avancés, des petits États insulaires en développement et des pays en développement sans littoral, dans le respect des programmes d’aide qui les concernent. "
8,8.1.1,line,Oui,"ODD 8 : Promouvoir une croissance économique soutenue, partagée et durable, le plein emploi productif et un travail décent pour tous.","8.1 Maintenir un taux de croissance économique par habitant adapté au contexte national et, en particulier, un taux de croissance annuelle du produit intérieur brut d’au moins 7 % dans les pays les moins avancés."
8,8.2.1,line,Oui,"ODD 8 : Promouvoir une croissance économique soutenue, partagée et durable, le plein emploi productif et un travail décent pour tous.","8.2 Parvenir à un niveau élevé de productivité économique par la diversification, la modernisation technologique et l’innovation, notamment en mettant l’accent sur les secteurs à forte valeur ajoutée et à forte intensité de main-d’œuvre"
8,8.3.1,,Oui,"ODD 8 : Promouvoir une croissance économique soutenue, partagée et durable, le plein emploi productif et un travail décent pour tous.","8.2 Parvenir à un niveau élevé de productivité économique par la diversification, la modernisation technologique et l’innovation, notamment en mettant l’accent sur les secteurs à forte valeur ajoutée et à forte intensité de main-d’œuvre"
8,8.4.1,,Non,"ODD 8: Promouvoir une croissance économique soutenue, partagée et durable, le plein emploi productif et un travail décent pour tous.","8.4 Améliorer progressivement, jusqu’en 2030, l’efficacité de l’utilisation des ressources mondiales dans les modes de consommation et de production et s’attacher à dissocier croissance économique et dégradation de l’environnement, comme prévu dans le Cadre décennal de programmation concernant les modes de consommation et de production durables, les pays développés montrant l’exemple en la matière. "
8,8.4.2,,Non,"ODD 8 : Promouvoir une croissance économique soutenue, partagée et durable, le plein emploi productif et un travail décent pour tous.",
8,8.5.2,bar,Oui,"ODD 8 : Promouvoir une croissance économique soutenue, partagée et durable, le plein emploi productif et un travail décent pour tous.","8.5 D’ici à 2030, parvenir au plein emploi productif et garantir à toutes les femmes et à tous les hommes, y compris les jeunes et les personnes handicapées, un travail décent et un salaire égal pour un travail de valeur égale. "
8,8.6.1,bar,Oui,"ODD 8 : Promouvoir une croissance économique soutenue, partagée et durable, le plein emploi productif et un travail décent pour tous.","8.6 D’ici à 2020, réduire nettement la proportion de jeunes non scolarisés et sans emploi ni formation. "
8,8.7.1,,Non,"ODD 8 : Promouvoir une croissance économique soutenue, partagée et durable, le plein emploi productif et un travail décent pour tous.","8.7 Prendre des mesures immédiates et efficaces pour supprimer le travail forcé, mettre fin à l’esclavage moderne et à la traite d’êtres humains, interdire et éliminer les pires formes de travail des enfants, y compris le recrutement et l’utilisation d’enfants soldats, et, d’ici à 2025, mettre fin au travail des enfants sous toutes ses formes."
8,8.8.1,,Non,"ODD 8 : Promouvoir une croissance économique soutenue, partagée et durable, le plein emploi productif et un travail décent pour tous.","8.8 Défendre les droits des travailleurs, promouvoir la sécurité sur le lieu de travail et assurer la protection de tous les travailleurs, y compris les migrants, en particulier les femmes, et ceux qui ont un emploi précaire. "
8,8.8.2,,Non,"ODD 8 : Promouvoir une croissance économique soutenue, partagée et durable, le plein emploi productif et un travail décent pour tous.","8.8 Défendre les droits des travailleurs, promouvoir la sécurité sur le lieu de travail et assurer la protection de tous les travailleurs, y compris les migrants, en particulier les femmes, et ceux qui ont un emploi précaire. "
8,8.9.1,,Oui,"ODD 8 : Promouvoir une croissance économique soutenue, partagée et durable, le plein emploi productif et un travail décent pour tous.","8.9 D’ici à 2030, élaborer et mettre en œuvre des politiques visant à développer un tourisme durable qui crée des emplois et met en valeur la culture et les produits locaux"
8,8.9.2,list,Oui,"ODD 8 : Promouvoir une croissance économique soutenue, partagée et durable, le plein emploi productif et un travail décent pour tous.","8.9 D’ici à 2030, élaborer et mettre en œuvre des politiques visant à développer un tourisme durable qui crée des emplois et met en valeur la culture et les produits locaux"
8,8.10.1,bar,Oui,"ODD 8 : Promouvoir une croissance économique soutenue, partagée et durable, le plein emploi productif et un travail décent pour tous.",8.10 Renforcer la capacité des institutions financières nationales de favoriser et généraliser l’accès de tous aux services bancaires et financiers et aux services d’assurance
8,8.10.2,bar,Oui,"ODD 8 : Promouvoir une croissance économique soutenue, partagée et durable, le plein emploi productif et un travail décent pour tous.",8.10 Renforcer la capacité des institutions financières nationales de favoriser et généraliser l’accès de tous aux services bancaires et financiers et aux services d’assurance
8,8.b.1,,Oui,"ODD 8 : Promouvoir une croissance économique soutenue, partagée et durable, le plein emploi productif et un travail décent pour tous.","8.b D’ici à 2020, élaborer et mettre en œuvre une stratégie mondiale en faveur de l’emploi des jeunes et appliquer le Pacte mondial pour l’emploi de l’Organisation internationale du Travail. "
9,9.1.1,,Non,"ODD 9 : Bâtir une infrastructure résiliente, promouvoir une industrialisation durable qui profite à tous et encourager l’innovation.","9.1 Mettre en place une infrastructure de qualité, fiable, durable et résiliente, y compris une infrastructure régionale et transfrontière, pour favoriser le développement économique et le bien-être de l’être humain, en privilégiant un accès universel, financièrement abordable et équitable. "
9,9.1.2,lineGroup,Oui,"ODD 9 : Bâtir une infrastructure résiliente, promouvoir une industrialisation durable qui profite à tous et encourager l’innovation.","9.1 Mettre en place une infrastructure de qualité, fiable, durable et résiliente, y compris une infrastructure régionale et transfrontière, pour favoriser le développement économique et le bien-être de l’être humain, en privilégiant un accès universel, financièrement abordable et équitable. "
9,9.2.1,line,Oui,"ODD 9 : Bâtir une infrastructure résiliente, promouvoir une industrialisation durable qui profite à tous et encourager l’innovation.","9.2 Promouvoir une industrialisation durable qui profite à tous et, d’ici à 2030."
9,9.2.2,,Oui,"ODD 9 : Bâtir une infrastructure résiliente, promouvoir une industrialisation durable qui profite à tous et encourager l’innovation.","9.2 Promouvoir une industrialisation durable qui profite à tous et, d’ici à 2030."
9,9.3.1,,Non,"ODD 9 : Bâtir une infrastructure résiliente, promouvoir une industrialisation durable qui profite à tous et encourager l’innovation.","9.3 Accroître, en particulier dans les pays en développement, l’accès des entreprises, notamment des petites entreprises industrielles, aux services financiers, y compris aux prêts consentis à des conditions abordables, et leur intégration aux chaînes de valeur et aux marchés. "
9,9.3.2,,Non,"ODD 9 : Bâtir une infrastructure résiliente, promouvoir une industrialisation durable qui profite à tous et encourager l’innovation.","9.3 Accroître, en particulier dans les pays en développement, l’accès des entreprises, notamment des petites entreprises industrielles, aux services financiers, y compris aux prêts consentis à des conditions abordables, et leur intégration aux chaînes de valeur et aux marchés. "
9,9.4.1,bar,Oui,"ODD 9 : Bâtir une infrastructure résiliente, promouvoir une industrialisation durable qui profite à tous et encourager l’innovation.","9.4. D’ici à 2030, moderniser l’infrastructure et adapter les industries afin de les rendre durables."
9,9.c.1,lineGroup,Oui,"ODD 9 : Bâtir une infrastructure résiliente, promouvoir une industrialisation durable qui profite à tous et encourager l’innovation.",9.c Accroître nettement l’accès aux technologies de l'information et de communication et faire en sorte que tous les habitants des pays les moins avancés aient accès à internet à un coût abordable d'ici à 2020
10,10.1.1,,Non,ODD 10 : Réduire les inégalités dans les pays et d’un pays à l’autre,"10.1 D’ici à 2030, assurer progressivement et durablement une croissance des revenus des 40 % de la population les plus pauvres à un rythme plus rapide que le revenu moyen national"
10,10.2.1,,Non,ODD 10 : Réduire les inégalités dans les pays et d’un pays à l’autre,"10.2 D’ici à 2030, autonomiser toutes les personnes et favoriser leur intégration sociale, économique et politique, indépendamment de leur âge, de leur sexe, de leur handicap, de leur race, de leur appartenance ethnique, de leurs origines, de leur religion ou de leur statut économique ou autre"
10,10.3.1,,Non,ODD 10 : Réduire les inégalités dans les pays et d’un pays à l’autre,"10.3 Assurer l’égalité des chances et réduire l’inégalité des résultats, notamment en éliminant les lois, politiques et pratiques discriminatoires et en encourageant l’adoption de lois, politiques et mesures adéquates en la matière"
